x,x,x,x,x,0,0,0,0,x,x,x
x,x,x,x,x,0,0,0,0,x,x,x
x,x,x,x,x,0,0,0,0,x,x,x
x,x,x,x,x,0,1,0,0,x,x,x
x,x,x,x,x,0,1,0,1,0,x,x
x,x,x,x,x,0,0,0,1,0,x,x
x,x,x,x,x,0,0,0,0,0,x,x
x,x,x,x,x,0,1,0,0,0,x,x
x,x,x,x,x,1,1,1,1,0,1,x
x,x,x,x,x,0,0,0,1,1,1,x
x,x,x,x,x,1,0,0,2,0,0,x
x,x,x,x,x,1,1,1,1,0,2,x
x,x,x,x,x,1,0,1,0,1,1,0
x,x,x,x,x,1,1,1,1,1,0,0
x,x,x,x,x,0,0,0,0,0,1,0
x,x,x,x,x,2,1,2,0,0,0,0
x,x,x,x,x,1,1,1,0,0,0,0
x,x,x,x,x,0,1,1,0,0,0,0
x,x,x,x,x,1,1,0,0,0,0,0
x,x,x,x,x,0,0,0,0,0,0,0
x,x,x,x,x,1,0,0,0,0,1,1
x,x,x,x,x,1,0,0,0,0,2,0
x,x,x,x,x,0,0,0,0,0,2,0
x,x,x,x,x,0,1,0,0,0,2,1
x,x,x,x,x,0,1,0,0,2,2,1
x,x,x,x,x,0,0,0,0,2,2,0
x,x,x,x,x,1,0,0,2,2,2,0
x,x,x,x,x,2,0,1,2,2,2,0
x,x,x,x,x,1,0,1,2,2,2,0
x,x,x,x,x,2,1,1,2,2,2,1
x,x,x,x,x,2,2,1,2,2,0,0
x,x,x,x,x,2,2,2,2,1,0,1
g,0,0,0,2,2,2,2,1,1,1,1
g,0,0,2,2,1,1,1,1,1,1,1
g,0,0,0,2,0,2,1,1,1,1,1
